,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.030409765243530274,0.024372648158299967,0.6899412631988525,0.07388046886042249,1,{'n_neighbors': 1},0.4070175438596491,0.3585237258347979,0.39718804920913886,0.43409490333919154,0.492091388400703,0.41778312212869606,0.04436107166369334,1
1,0.01721301078796387,0.0009626754201471536,0.5970931053161621,0.028201012681630187,2,{'n_neighbors': 2},0.3368421052631579,0.335676625659051,0.335676625659051,0.36379613356766255,0.4147627416520211,0.3573508463601887,0.030652306913429687,9
2,0.02203207015991211,0.007165702906217359,0.7284285545349121,0.08168037002325744,3,{'n_neighbors': 3},0.37719298245614036,0.3936731107205624,0.38488576449912126,0.43233743409490333,0.4130052724077329,0.4002189128356921,0.020016177617465367,2
3,0.011089706420898437,0.005927721214691632,0.6174644470214844,0.05156782355042782,4,{'n_neighbors': 4},0.387719298245614,0.3866432337434095,0.38137082601054484,0.4358523725834798,0.3884007029876977,0.39599728671414913,0.020080302322143424,3
4,0.018447160720825195,0.0035741357518331773,0.5734845638275147,0.044432664678881656,5,{'n_neighbors': 5},0.3824561403508772,0.37961335676625657,0.3884007029876977,0.45342706502636204,0.3374340949033392,0.38826627200690655,0.03725181289474009,4
5,0.013093948364257812,0.004769485791682895,0.5767247676849365,0.043703501696597175,6,{'n_neighbors': 6},0.38421052631578945,0.37785588752196836,0.37961335676625657,0.437609841827768,0.3233743409490334,0.38053279067616314,0.03618401595184907,5
6,0.017145586013793946,0.0029438151176916748,0.5950700283050537,0.03787420129795858,7,{'n_neighbors': 7},0.38421052631578945,0.36379613356766255,0.37082601054481545,0.43409490333919154,0.3145869947275923,0.37350291369901023,0.03836278163994055,6
7,0.018828296661376955,0.006227292128800182,0.6430848598480224,0.08720904392944832,8,{'n_neighbors': 8},0.3912280701754386,0.36379613356766255,0.36203866432337434,0.4200351493848858,0.3181019332161687,0.371039990133506,0.03389400950114177,7
8,0.019200706481933595,0.0038380489883495794,0.6823639392852783,0.049808499006908306,9,{'n_neighbors': 9},0.38596491228070173,0.36203866432337434,0.3655536028119508,0.4112478031634446,0.30404217926186294,0.36576943236826687,0.03549748894708317,8
9,0.013044929504394532,0.006606533491253733,0.5703487396240234,0.023547620992294058,10,{'n_neighbors': 10},0.3684210526315789,0.35676625659050965,0.36203866432337434,0.4024604569420035,0.29701230228471004,0.3573397465544353,0.03411886018409444,10
