,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.4912750244140625,0.13979554547621006,0.011001491546630859,0.019414143540134245,10,{'max_depth': 10},0.4380952380952381,0.43333333333333335,0.4357142857142857,0.4380952380952381,0.4380952380952381,0.4366666666666667,0.001904761904761898,10
1,0.591732406616211,0.0458644995330966,0.005949926376342773,0.007401508773055064,20,{'max_depth': 20},0.8690476190476191,0.8738095238095238,0.8761904761904762,0.8714285714285714,0.8785714285714286,0.8738095238095237,0.003367175148507357,9
2,0.5659047603607178,0.027630771954515205,0.013294458389282227,0.007311890717956643,30,{'max_depth': 30},0.9928571428571429,1.0,1.0,1.0,1.0,0.9985714285714286,0.0028571428571428467,1
3,0.6644338607788086,0.13275163559952324,0.005833053588867187,0.007145096032042052,40,{'max_depth': 40},0.9904761904761905,1.0,1.0,1.0,1.0,0.9980952380952381,0.003809523809523796,7
4,0.7060948371887207,0.12300533552531,0.009954547882080078,0.009330918160879071,50,{'max_depth': 50},0.9928571428571429,1.0,1.0,1.0,1.0,0.9985714285714286,0.0028571428571428467,1
5,0.7413372993469238,0.18826551176903444,0.007263278961181641,0.0070737353288715474,60,{'max_depth': 60},0.9928571428571429,1.0,1.0,1.0,1.0,0.9985714285714286,0.0028571428571428467,1
6,1.1249468803405762,0.7678101073930702,0.08807034492492676,0.16529775402584837,70,{'max_depth': 70},0.9928571428571429,1.0,1.0,1.0,1.0,0.9985714285714286,0.0028571428571428467,1
7,0.6313933372497559,0.10137405980519087,0.009120416641235352,0.006081307085957192,80,{'max_depth': 80},0.9904761904761905,1.0,1.0,1.0,1.0,0.9980952380952381,0.003809523809523796,7
8,0.61015305519104,0.045157113756492236,0.004599189758300782,0.006209913516870834,90,{'max_depth': 90},0.9928571428571429,1.0,1.0,1.0,1.0,0.9985714285714286,0.0028571428571428467,1
9,0.5916229724884033,0.05589890565544222,0.009378623962402344,0.0076576146757434274,100,{'max_depth': 100},0.9928571428571429,1.0,1.0,1.0,1.0,0.9985714285714286,0.0028571428571428467,1
